Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Maximum error,Minimum error,Step4,Step6.1,Step6.2,Time,Adopted_hidden_node,nb_node_pruned
1,Training,1700.23,3.26,2194.28,66.04,84.28,6114.27,8.18,106,53,0,16.380767822265625,1,0
2,Training,1709.67,3.27,2130.71,62.26,86.16,6075.29,0.02,105,52,2,39.99659776687622,7,0
3,Training,1206.36,2.37,1707.71,83.02,91.19,6126.91,10.55,122,35,2,126.33662438392639,7,0
4,Training,1276.5,2.57,1777.79,83.02,91.19,6118.42,0.06,136,15,8,384.177120923996,9,16
5,Training,1823.92,3.60,2326.88,62.26,77.36,5852.57,0.01,129,11,19,949.9905080795288,51,7
6,Training,1914.84,3.72,2426.1,54.72,74.84,6030.76,0.02,130,14,15,512.2258808612823,46,0
7,Training,2058.25,4.07,2677.42,52.83,71.7,6067.98,0.01,114,10,35,2967.633013486862,102,4
8,Training,1565.27,3.18,2120.55,71.7,85.53,6083.84,0.06,141,7,11,582.2604718208313,33,1
9,Training,1752.14,3.52,2237.68,64.15,81.13,6070.52,25.09,146,12,1,47.78070068359375,2,2
10,Training,1725.6,3.58,2269.34,67.3,83.02,6119.79,15.04,142,17,0,13.468584060668945,1,0
11,Training,1477.97,3.09,1960.84,74.84,84.28,6126.78,5.48,146,13,0,28.73026990890503,1,0
12,Training,1715.11,3.55,2347.68,66.67,80.5,6122.69,0.0,125,11,23,1488.222446680069,66,4
13,Training,1868.96,3.97,2354.59,60.38,76.73,6098.89,0.33,145,12,2,41.658427238464355,6,1
14,Training,1981.07,4.26,2523.74,59.75,75.47,6080.36,5.62,142,16,1,88.03908967971802,3,1
15,Training,1842.45,4.14,2354.62,64.78,79.87,6125.45,17.72,152,7,0,13.596547365188599,1,0
16,Training,1901.79,4.20,2526.06,61.01,78.62,6117.41,0.0,139,4,16,994.733348608017,45,4
17,Training,1611.2,3.52,2206.68,68.55,84.91,6094.45,11.86,152,7,0,16.098326921463013,1,0
18,Training,1972.67,4.42,2470.71,60.38,76.73,6124.27,0.53,136,22,1,54.828325271606445,4,0
19,Training,1887.7,4.38,2298.17,59.12,79.87,6094.73,61.1,113,45,1,57.743892669677734,3,1
20,Training,2058.91,5.04,2627.37,58.49,72.33,6055.55,3.89,151,7,1,194.36775660514832,3,1
21,Training,2145.57,4.86,2598.3,51.57,72.96,6123.48,5.93,130,29,0,13.569340705871582,1,0
22,Training,1796.91,4.25,2370.18,61.64,76.73,6113.09,0.01,123,22,14,1746.1278281211853,42,1
23,Training,1912.86,4.33,2369.43,62.89,74.21,6126.87,62.87,111,48,0,63.66365575790405,1,0
24,Training,1350.88,3.09,1743.72,76.73,93.08,6107.54,7.75,149,10,0,11.497036218643188,1,0
25,Training,1888.99,4.21,2461.1,64.78,74.84,6082.0,14.75,141,18,0,15.785365104675293,1,0
26,Training,3035.72,7.27,3505.73,32.08,44.03,6041.97,0.19,145,4,10,851.0226154327393,30,1
