Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Maximum error,Minimum error,Step4,Step6.1,Step6.2,Time,Adopted_hidden_node,nb_node_pruned
1,Training,1395.24,2.69,1741.47,73.58,91.19,4855.55,0.19,159,0,0,34.279340744018555,1,0
2,Training,1583.94,3.13,2094.34,71.7,88.68,9425.08,12.11,159,0,0,1.2567059993743896,1,0
3,Training,1779.77,3.59,2415.05,66.67,85.53,9020.43,0.43,159,0,0,1.0588555335998535,1,0
4,Training,1939.19,3.96,2612.03,64.15,80.5,8726.7,3.36,159,0,0,0.9638264179229736,1,0
5,Training,2078.98,4.27,2737.54,59.12,76.73,8501.32,17.68,159,0,0,0.9179849624633789,1,0
6,Training,2151.99,4.43,2780.51,54.72,74.84,8367.37,13.67,159,0,0,0.9108867645263672,1,0
7,Training,2267.77,4.69,2883.11,51.57,71.7,8166.05,6.06,159,0,0,0.9122507572174072,1,0
8,Training,2432.92,5.07,3050.0,46.54,67.3,7913.17,14.03,159,0,0,0.9178593158721924,1,0
9,Training,2667.89,5.64,3342.02,43.4,62.26,9239.57,26.21,159,0,0,1.1809396743774414,1,0
10,Training,2889.85,6.17,3580.35,42.14,56.6,8938.67,8.64,159,0,0,1.2537312507629395,1,0
11,Training,3078.81,6.64,3778.88,38.99,51.57,8749.5,71.98,159,0,0,1.2034330368041992,1,0
12,Training,1825.02,3.86,2269.82,60.38,76.73,7347.27,14.21,159,0,0,1.0255405902862549,1,0
13,Training,1329.37,2.84,1756.74,79.25,91.19,7453.17,3.84,159,0,0,0.9287738800048828,1,0
14,Training,1300.34,2.81,1730.72,79.25,91.82,7390.21,7.46,159,0,0,0.9357705116271973,1,0
15,Training,1284.46,2.79,1703.0,78.62,93.08,7223.09,0.4,159,0,0,0.9377849102020264,1,0
16,Training,1216.33,2.66,1638.46,80.5,93.08,7057.23,7.59,159,0,0,0.9398417472839355,1,0
17,Training,1181.24,2.63,1586.82,81.76,94.97,6878.53,7.43,159,0,0,1.2901127338409424,1,0
18,Training,1145.87,2.58,1545.4,83.65,95.6,6787.23,3.44,159,0,0,1.2184817790985107,1,0
19,Training,1080.4,2.47,1496.48,87.42,94.97,7037.39,2.7,159,0,0,1.1021931171417236,1,0
20,Training,1082.82,2.48,1486.1,87.42,94.97,7058.25,5.0,159,0,0,1.0150601863861084,1,0
21,Training,1025.88,2.37,1353.44,89.31,96.86,4711.74,21.91,159,0,0,0.9254341125488281,1,0
22,Training,997.17,2.34,1293.48,89.94,97.48,4729.26,19.59,159,0,0,0.9367027282714844,1,0
23,Training,981.31,2.31,1267.53,91.19,97.48,4622.77,25.64,159,0,0,0.926722526550293,1,0
24,Training,980.52,2.33,1263.53,90.57,97.48,4583.03,3.38,159,0,0,0.9392337799072266,1,0
25,Training,998.98,2.39,1276.58,89.94,97.48,4447.65,4.11,159,0,0,1.1785409450531006,1,0
26,Training,1194.94,2.85,1829.08,86.16,94.97,9799.95,6.7,158,1,0,1.339029312133789,1,0
27,Training,1445.75,3.47,2243.74,76.73,91.82,9268.38,22.38,159,0,0,1.1047792434692383,1,0
28,Training,1734.94,4.17,2591.52,71.7,85.53,8786.62,6.47,159,0,0,1.0930850505828857,1,0
29,Training,1603.1,3.93,2324.9,72.96,84.28,8518.5,10.95,158,0,1,23.75245761871338,4,0
30,Training,1569.54,3.86,2298.33,71.7,84.91,8519.24,10.46,159,0,0,0.4462461471557617,4,0
31,Training,1502.14,3.71,2248.15,73.58,86.79,8520.83,1.82,159,0,0,0.6754150390625,4,0
32,Training,1509.21,3.72,2246.86,73.58,86.79,8521.04,23.58,159,0,0,0.4173598289489746,4,0
33,Training,1504.25,3.72,2243.28,73.58,86.79,8521.32,4.6,159,0,0,0.4545276165008545,4,0
34,Training,1560.9,3.84,2333.99,72.96,86.16,8521.48,14.79,159,0,0,0.3196849822998047,4,0
35,Training,1647.48,4.02,2415.49,71.07,84.28,8522.02,24.32,159,0,0,0.49847841262817383,4,0
36,Training,1732.99,4.18,2484.88,68.55,83.65,8526.24,1.62,159,0,0,1.1272671222686768,4,0
37,Training,1732.53,4.19,2418.95,69.81,85.53,8530.61,0.07,159,0,0,1.0498225688934326,4,0
38,Training,1735.16,4.18,2442.22,71.07,84.91,8534.88,24.57,159,0,0,0.9450862407684326,4,0
39,Training,1704.56,4.10,2404.53,72.33,85.53,8536.86,14.14,159,0,0,0.6299452781677246,4,0
40,Training,1725.39,4.13,2417.93,71.7,86.16,8537.01,24.96,159,0,0,0.24400901794433594,4,0
41,Training,1730.87,4.13,2420.7,71.7,85.53,8537.22,24.76,159,0,0,0.2736175060272217,4,0
42,Training,1728.12,4.11,2420.88,72.33,86.16,8537.71,24.7,159,0,0,0.3390328884124756,4,0
