Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Maximum error,Minimum error,Step4,Step6.1,Step6.2,Time,Adopted_hidden_node,nb_node_pruned
62,Training,1604.74,3.37,1987.63,67.3,81.76,4898.69,0.26,159,0,0,619.2030494213104,153,0
63,Training,1578.65,3.27,1957.74,69.18,82.39,4898.69,0.26,159,0,0,623.898191690445,153,0
64,Training,1615.7,3.33,2002.91,66.67,80.5,4898.69,0.26,159,0,0,618.8409850597382,153,0
65,Training,1656.23,3.40,2041.99,64.78,80.5,4898.69,0.26,159,0,0,620.296377658844,153,0
66,Training,1672.15,3.43,2053.68,64.15,80.5,4898.69,0.26,159,0,0,628.0585825443268,153,0
67,Training,1611.22,3.29,1999.16,66.04,81.76,4898.69,0.26,159,0,0,628.1133964061737,153,0
68,Training,1616.37,3.31,2020.13,64.78,81.13,4898.69,1.34,157,0,2,655.6983277797699,159,0
69,Training,1644.35,3.38,2067.22,64.15,79.87,4898.69,0.82,158,0,1,665.5101943016052,162,0
70,Training,1598.75,3.29,2038.28,66.04,81.76,4898.69,1.34,157,0,2,690.1401519775391,168,0
71,Training,1635.03,3.39,2085.2,65.41,80.5,4898.69,1.34,159,0,0,719.9955723285675,168,0
72,Training,1660.04,3.44,2133.87,64.78,80.5,4898.69,0.38,158,0,1,735.2622456550598,171,0
73,Training,1588.21,3.28,2068.79,66.67,81.76,4886.22,0.38,156,0,3,767.2634341716766,180,0
74,Training,1629.64,3.36,2116.43,65.41,80.5,4911.15,0.38,158,0,1,780.7916886806488,183,0
75,Training,1654.42,3.41,2136.26,64.15,80.5,4911.15,0.38,159,0,0,785.1506264209747,183,0
76,Training,1652.14,3.40,2134.11,64.15,80.5,4911.15,0.38,159,0,0,787.7736902236938,183,0
77,Training,1661.76,3.42,2136.54,62.89,81.13,4911.15,0.38,159,0,0,792.7900702953339,183,0
78,Training,1617.57,3.35,2100.09,64.15,83.02,4911.15,0.38,157,0,2,771.5455315113068,189,0
79,Training,1567.85,3.25,2063.16,66.04,83.65,4911.15,0.38,156,0,3,794.3249487876892,198,0
