Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Maximum error,Minimum error,Step4,Step6.1,Step6.2,Time,Adopted_hidden_node,nb_node_pruned
69,Training,1462.15,3.00,1807.97,76.73,93.08,6115.36,51.91,155,2,2,77.30919361114502,6,1
70,Training,1272.91,2.66,1707.2,79.25,89.31,6119.46,7.91,154,4,1,105.2421715259552,3,1
71,Training,955.48,1.96,1289.64,91.19,97.48,5311.24,0.39,158,0,1,172.64191961288452,3,1
72,Training,1213.66,2.55,1743.01,79.25,90.57,6112.18,0.26,153,0,6,189.33543515205383,12,7
73,Training,1243.1,2.60,1706.84,81.76,91.82,6106.73,0.07,154,3,2,128.581866979599,3,4
74,Training,1237.83,2.59,1707.72,83.65,91.19,6115.85,9.57,156,0,3,149.29504013061523,3,7
75,Training,1308.86,2.71,1812.13,79.25,88.68,5403.68,6.57,157,0,2,299.28140091896057,6,1
76,Training,1324.03,2.76,1794.04,83.02,90.57,5856.84,17.51,157,0,2,84.28059887886047,6,1
77,Training,1321.97,2.76,1799.56,82.39,89.94,6011.7,25.7,156,1,2,85.24370455741882,6,1
78,Training,1450.58,3.02,1931.26,76.73,88.05,6119.93,17.43,156,1,2,114.39923787117004,4,3
79,Training,1500.7,3.11,1968.18,71.7,87.42,6127.11,15.34,156,1,2,113.52317428588867,4,3
