Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Maximum error,Minimum error,Step4,Step6.1,Step6.2,Time,Adopted_hidden_node,nb_node_pruned
59,Training,1177.52,2.49,1508.97,83.65,96.23,4538.95,1.45,150,7,2,1270.4212505817413,6,1
60,Training,1222.35,2.58,1541.11,84.91,94.97,4499.57,0.88,145,13,1,40.64663362503052,4,0
61,Training,1533.48,3.25,1891.86,68.55,89.31,4813.67,12.19,154,5,0,40.47428035736084,1,0
62,Training,1091.27,2.25,1372.98,86.16,96.23,3992.99,5.3,153,4,2,968.3966293334961,6,1
63,Training,1004.13,2.02,1433.67,86.79,94.97,5652.28,1.25,111,17,31,2112.233950853348,94,0
64,Training,947.8,1.93,1172.0,92.45,98.74,3567.91,5.73,153,4,2,1193.8547105789185,6,1
65,Training,1364.85,2.79,1717.12,80.5,92.45,6036.3,41.57,155,2,2,747.362361907959,6,1
66,Training,1349.92,2.76,1694.79,80.5,92.45,5910.88,15.41,153,4,2,804.4971432685852,6,1
67,Training,1318.19,2.70,1644.63,83.02,94.34,5717.9,14.39,156,1,2,855.2078168392181,6,1
68,Training,1362.76,2.80,1698.99,79.87,92.45,5586.99,23.92,153,4,2,873.0617001056671,6,1
69,Training,1241.61,2.55,1532.82,86.79,94.34,4630.41,32.85,152,4,3,894.2482161521912,9,1
70,Training,1247.81,2.58,1549.7,83.65,93.71,4433.93,8.6,152,1,6,973.3967182636261,18,1
71,Training,1294.75,2.71,1736.65,79.25,90.57,6048.8,0.43,150,2,7,551.9502999782562,21,1
72,Training,1410.03,2.92,1814.14,69.81,90.57,5252.23,0.0,146,6,7,299.8838748931885,21,1
73,Training,1959.58,3.99,2447.22,52.2,78.62,5872.8,0.0,143,9,7,386.0048232078552,21,1
74,Training,1567.31,3.23,1963.15,66.67,89.31,5433.4,0.0,143,9,7,454.77874875068665,21,1
75,Training,2015.54,4.09,2487.74,48.43,77.36,5916.78,0.0,150,2,7,636.124321937561,21,1
76,Training,1381.08,2.87,1803.23,79.87,91.19,6106.33,18.07,152,4,3,378.9365050792694,9,1
77,Training,1351.24,2.78,1728.68,77.99,92.45,5409.52,2.39,149,5,5,647.4043972492218,15,1
78,Training,1334.74,2.76,1734.55,83.02,91.82,6075.33,3.87,148,5,6,842.4236953258514,18,1
79,Training,1360.19,2.79,1753.02,83.65,89.31,5511.68,12.41,152,2,5,759.5242750644684,15,1
