Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Maximum error,Minimum error,Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Training,1271.56,2.44,1682.84,81.76,92.45,7086.04,33.67,159,0,0,44.43745398521423,1
2,Training,1262.82,2.47,1763.71,83.65,90.57,7080.72,9.31,159,0,0,1.3556849956512451,1
3,Training,1235.45,2.44,1739.62,83.02,89.94,7175.79,8.19,159,0,0,1.3996241092681885,1
4,Training,1182.82,2.33,1671.63,84.91,90.57,7105.22,0.27,159,0,0,1.3807508945465088,1
5,Training,1135.79,2.25,1643.59,84.91,89.94,7109.86,4.64,159,0,0,1.401379108428955,1
6,Training,1143.14,2.27,1640.5,85.53,89.94,7080.63,13.58,159,0,0,1.3804950714111328,1
7,Training,1127.7,2.25,1620.55,85.53,90.57,7066.55,4.44,159,0,0,1.4003534317016602,1
8,Training,1123.71,2.26,1595.35,86.16,91.19,7008.84,20.2,159,0,0,1.3759427070617676,1
9,Training,1206.8,2.47,1678.5,83.65,89.94,6999.91,13.05,159,0,0,1.3749659061431885,1
10,Training,1263.09,2.62,1714.15,81.13,91.82,6987.47,21.39,159,0,0,1.3778936862945557,1
11,Training,1270.15,2.68,1700.17,79.25,91.82,6905.48,4.77,159,0,0,1.4120872020721436,1
12,Training,1221.97,2.59,1649.63,81.76,93.71,6892.54,11.39,159,0,0,1.3928802013397217,1
13,Training,1282.95,2.79,1731.73,80.5,91.82,6993.34,4.05,159,0,0,1.382387399673462,1
14,Training,1294.89,2.83,1725.0,80.5,89.94,7088.72,3.0,159,0,0,1.3797507286071777,1
15,Training,1299.24,2.85,1712.53,79.25,90.57,7145.57,8.77,159,0,0,1.3639285564422607,1
16,Training,1238.89,2.75,1661.61,82.39,91.19,7104.88,6.39,159,0,0,1.383044958114624,1
17,Training,1202.96,2.70,1620.22,82.39,91.82,7050.57,3.48,159,0,0,1.3642654418945312,1
18,Training,1180.22,2.66,1588.19,83.02,93.08,6984.33,5.36,159,0,0,1.3933520317077637,1
19,Training,1099.46,2.51,1523.64,87.42,94.34,7287.12,4.79,159,0,0,1.4548399448394775,1
20,Training,1097.64,2.52,1512.76,87.42,95.6,7334.94,1.44,159,0,0,1.3808424472808838,1
21,Training,1032.0,2.39,1371.69,89.31,95.6,4754.65,22.69,159,0,0,1.388646125793457,1
22,Training,996.11,2.34,1300.09,90.57,96.86,4788.93,35.15,159,0,0,1.353822946548462,1
23,Training,973.36,2.30,1278.69,90.57,97.48,4751.29,2.46,159,0,0,1.3857977390289307,1
24,Training,976.01,2.33,1273.12,90.57,97.48,4689.58,13.46,159,0,0,1.3685879707336426,1
25,Training,996.57,2.39,1286.69,89.94,97.48,4576.89,3.8,159,0,0,1.367607593536377,1
26,Training,1039.95,2.51,1382.41,88.68,96.23,5562.69,12.94,157,1,1,23.963430881500244,4
27,Training,1024.92,2.48,1317.45,88.68,96.86,4293.96,1.18,159,0,0,1.339958667755127,4
28,Training,1010.61,2.45,1295.57,88.05,97.48,4241.55,11.8,159,0,0,0.9146413803100586,4
29,Training,995.22,2.42,1277.38,88.68,98.11,4007.29,31.46,159,0,0,0.7879385948181152,4
30,Training,974.69,2.38,1261.7,89.31,98.11,3913.41,24.72,159,0,0,0.7758042812347412,4
31,Training,936.55,2.29,1192.17,90.57,99.37,3765.71,21.1,159,0,0,0.7023165225982666,4
32,Training,941.64,2.31,1204.67,89.94,99.37,3760.66,4.36,159,0,0,0.7126631736755371,4
33,Training,941.89,2.31,1202.93,89.94,99.37,3728.45,0.42,159,0,0,0.6895828247070312,4
34,Training,943.71,2.31,1201.37,90.57,99.37,3789.04,1.5,159,0,0,0.6659154891967773,4
35,Training,1034.95,2.50,1368.2,87.42,97.48,5041.99,8.96,159,0,0,0.6875600814819336,4
36,Training,1174.69,2.79,1555.07,84.28,94.97,6376.04,21.5,159,0,0,1.4212956428527832,4
37,Training,1224.46,2.90,1495.73,84.28,96.23,4593.88,10.7,159,0,0,1.4063212871551514,4
38,Training,1296.11,3.03,1685.86,84.28,94.34,6893.07,10.53,159,0,0,1.3903982639312744,4
39,Training,1257.66,2.95,1617.32,83.02,94.97,6229.6,4.59,159,0,0,1.1259939670562744,4
40,Training,1272.51,2.97,1615.65,83.02,93.71,5592.08,17.14,159,0,0,1.0565814971923828,4
