Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Maximum error,Minimum error,Step4,Step6.1,Step6.2,Time,Adopted_hidden_node,nb_node_pruned
1,Inferencing,4954.36,11.87,5339.28,25.0,25.0,7348.93,1904.01,158,0,1,81.1082239151001,2,2
2,Inferencing,3317.71,8.00,3578.37,25.0,50.0,5200.05,1693.31,157,0,2,113.6124894618988,2,5
3,Inferencing,1333.82,3.09,1855.88,75.0,75.0,3558.74,391.51,155,2,2,149.39309859275818,4,3
