Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Inferencing,7425.5,17.68,7686.71,0.0,0.0,159,0,0,50.72319507598877,1
2,Inferencing,8153.06,19.60,8163.14,0.0,0.0,158,0,1,31.82646608352661,4
3,Inferencing,7990.34,18.74,8028.92,0.0,0.0,159,0,0,0.621340274810791,4
4,Inferencing,6264.22,14.36,6267.99,0.0,0.0,159,0,0,0.46153759956359863,4
5,Inferencing,6223.28,13.71,6304.12,0.0,0.0,159,0,0,0.38535165786743164,4
6,Inferencing,6806.09,15.64,6826.99,0.0,0.0,159,0,0,0.3137021064758301,4
7,Inferencing,7871.85,18.82,7900.92,0.0,0.0,159,0,0,0.3412003517150879,4
8,Inferencing,10479.07,26.69,10491.95,0.0,0.0,159,0,0,0.29998350143432617,4
9,Inferencing,10295.3,26.10,10309.51,0.0,0.0,155,1,3,52.45085883140564,12
