Actual,Predict,Absolute Error
38120.0,55142.625,17022.625
38918.0,55142.625,16224.625
42342.0,55142.625,12800.625
44880.0,55142.625,10262.625
46362.0,55142.625,8780.625
47092.0,55142.625,8050.625
47162.0,55587.094,8425.094
46768.0,56134.785,9366.785
45008.0,55825.453,10817.453
44638.0,55983.332,11345.332
45320.0,55860.29,10540.289
46388.0,55618.727,9230.727
46780.0,55403.984,8623.984
47208.33,55393.133,8184.8047
46986.67,56171.004,9184.332
46880.0,56952.957,10072.957
48976.0,56809.51,7833.5117
48254.0,57035.76,8781.762
47840.0,56519.758,8679.758
47010.0,56079.074,9069.074
47188.0,56224.29,9036.289
46900.0,56441.145,9541.145
46826.0,56635.895,9809.895
47356.0,56482.89,9126.891
46430.0,56402.086,9972.086
46024.0,55985.06,9961.059
46094.0,56423.785,10329.785
46159.0,56548.832,10389.832
44956.0,56126.38,11170.379
45146.0,55769.457,10623.457
45808.0,55644.844,9836.844
45478.0,55924.477,10446.477
45238.0,55603.61,10365.609
45760.0,55142.625,9382.625
45624.0,55142.625,9518.625
46712.0,55417.25,8705.25
46960.0,55142.625,8182.625
46900.0,55142.625,8242.625
47558.0,55142.625,7584.625
49028.0,55142.625,6114.625
50188.0,55142.625,4954.625
50360.0,55142.625,4782.625
50354.0,55142.625,4788.625
51438.00000000001,55142.625,3704.625
52592.0,55142.625,2550.625
53060.0,55142.625,2082.625
51014.0,55142.625,4128.625
50476.0,55142.625,4666.625
50758.0,55142.625,4384.625
51990.0,55142.625,3152.625
53014.0,55142.625,2128.625
54943.99999999999,55142.625,198.625
55333.99999999999,55142.625,191.375
54186.0,55142.625,956.625
53982.00000000001,55142.625,1160.625
53226.00000000001,55142.625,1916.625
53540.0,55142.625,1602.625
53264.00000000001,55142.625,1878.625
52184.0,55142.625,2958.625
52126.0,55142.625,3016.625
53596.00000000001,55142.625,1546.625
54754.00000000001,55142.625,388.625
54753.0,55142.625,389.625
54506.0,55142.625,636.625
53906.00000000001,55142.625,1236.625
53272.0,55142.625,1870.625
53004.00000000001,55142.625,2138.625
52236.00000000001,55142.625,2906.625
51961.0,55142.625,3181.625
52440.0,55142.625,2702.625
52462.0,55142.625,2680.625
51700.0,55142.625,3442.625
51562.0,55142.625,3580.625
50624.0,55142.625,4518.625
49362.0,55142.625,5780.625
50484.0,55142.625,4658.625
50818.0,55142.625,4324.625
51174.00000000001,55142.625,3968.625
51752.0,55142.625,3390.625
50988.0,55142.625,4154.625
50994.0,55142.625,4148.625
50996.0,55142.625,4146.625
51340.0,55311.55,3971.5508
51241.99999999999,55142.625,3900.625
52704.0,55142.625,2438.625
53422.0,55142.625,1720.625
52008.0,55142.625,3134.625
51346.00000000001,55142.625,3796.625
50340.0,55453.28,5113.2812
48930.0,55968.996,7038.996
48664.0,56055.54,7391.539
49570.0,55539.332,5969.332
49614.0,55344.582,5730.582
49510.0,55700.312,6190.3125
48824.0,55774.363,6950.3633
48562.0,55738.547,7176.547
48792.0,55905.605,7113.6055
48081.0,55861.27,7780.2695
48228.0,55770.574,7542.574
49424.0,55726.527,6302.5273
50431.0,55984.973,5553.9727
50300.0,56058.395,5758.3945
50520.0,55736.152,5216.1523
50406.0,55515.34,5109.34
50132.0,55275.56,5143.5586
49364.0,55168.65,5804.6484
49670.0,55142.625,5472.625
49166.0,55142.625,5976.625
49732.0,55142.625,5410.625
49520.0,55142.625,5622.625
49770.0,55142.625,5372.625
