Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Maximum error,Minimum error,Step4,Step6.1,Step6.2,Time,Adopted_hidden_node,nb_node_pruned
58,Training,1462.66,3.18,1983.23,74.21,88.05,6127.11,1.5,156,3,0,218.3720235824585,1,0
59,Training,996.87,2.12,1303.45,92.45,97.48,6122.5,16.15,156,1,2,453.2506022453308,6,1
60,Training,1289.19,2.74,1578.96,82.39,97.48,6020.11,19.05,154,4,1,232.4790952205658,4,0
61,Training,1077.89,2.30,1455.79,87.42,96.23,5938.24,0.0,153,0,6,405.2978398799896,18,1
62,Training,1054.03,2.22,1420.12,88.68,97.48,5977.98,0.01,155,0,4,320.5066044330597,12,1
63,Training,979.72,2.02,1240.25,89.31,98.11,3743.84,5.05,157,0,2,313.2027781009674,6,1
64,Training,1131.84,2.31,1411.66,85.53,96.23,4205.25,0.02,156,0,3,253.02126479148865,9,1
65,Training,1560.66,3.22,1984.98,73.58,84.28,5855.33,4.3,154,4,1,215.1802909374237,4,0
66,Training,2091.61,4.24,2502.75,50.94,77.99,6125.78,5.78,156,1,2,246.51676654815674,1,6
67,Training,2007.24,4.05,2428.11,52.83,79.87,6123.29,3.29,156,2,1,202.03870010375977,1,3
68,Training,1470.14,3.05,1846.47,69.18,89.94,5085.98,23.29,155,2,2,247.11525917053223,3,4
69,Training,1458.12,2.98,1807.62,74.84,91.82,6046.86,26.9,157,0,2,193.49205899238586,6,1
70,Training,1273.42,2.66,1705.78,78.62,89.31,6116.59,1.57,154,4,1,226.9715633392334,3,1
71,Training,968.95,2.00,1357.22,89.31,96.86,5468.06,4.76,156,0,3,324.3895215988159,3,7
72,Training,1227.66,2.59,1744.27,81.13,90.57,6096.54,9.54,153,0,6,357.82152557373047,12,7
73,Training,1225.6,2.56,1690.57,82.39,91.82,6105.86,15.61,156,1,2,268.9411132335663,3,4
74,Training,1394.08,2.89,1866.18,78.62,89.31,5403.99,13.33,157,0,2,245.41892862319946,6,1
75,Training,1357.6,2.82,1838.67,80.5,89.94,5681.38,4.87,156,1,2,209.9318869113922,6,1
76,Training,1337.68,2.79,1811.1,78.62,89.94,6059.09,4.29,156,1,2,216.81020283699036,6,1
77,Training,1296.7,2.71,1783.51,82.39,90.57,5823.11,11.54,157,0,2,218.08513736724854,6,1
78,Training,1216.98,2.55,1699.12,83.02,91.19,5562.23,6.25,157,0,2,235.07385158538818,6,1
79,Training,1522.94,3.14,1969.2,71.7,88.68,5990.26,0.38,155,0,4,264.3460931777954,12,1
