Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Maximum error,Minimum error,Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
52,Training,1135.38,2.51,1432.49,84.91,96.23,4832.66,27.49,4,0,0,0.3328592777252197,4
53,Training,1111.64,2.42,1420.54,84.91,96.23,4693.91,5.66,4,0,0,0.3324546813964844,4
54,Training,1168.08,2.52,1514.14,81.76,93.71,4712.73,5.72,4,0,0,0.5415737628936768,4
55,Training,1155.32,2.46,1498.89,82.39,94.97,4790.62,7.35,4,0,0,0.5162944793701172,4
56,Training,1152.52,2.43,1494.25,81.76,94.97,4746.96,24.05,4,0,0,0.3115353584289551,4
57,Training,1152.68,2.43,1489.53,83.02,96.23,4802.8,27.81,4,0,0,0.37319374084472656,4
58,Training,1158.38,2.43,1492.76,82.39,94.97,4751.38,0.84,4,0,0,0.3155968189239502,4
59,Training,1161.9,2.42,1493.41,83.02,94.97,4754.62,27.3,4,0,0,0.33216214179992676,4
60,Training,1164.38,2.40,1497.65,84.28,94.34,4773.3,8.49,4,0,0,0.29555511474609375,4
61,Training,1188.34,2.45,1512.1,83.02,94.97,4751.36,2.61,4,0,0,0.3668680191040039,4
62,Training,1179.24,2.42,1494.66,85.53,95.6,4691.86,9.6,4,0,0,0.504000186920166,4
63,Training,1198.19,2.46,1500.01,83.65,95.6,4672.48,15.2,4,0,0,0.3265862464904785,4
64,Training,1184.28,2.42,1490.21,84.28,96.23,4719.73,16.84,4,0,0,0.41413021087646484,4
65,Training,1164.16,2.36,1477.56,82.39,96.23,4775.82,10.59,4,0,0,0.3376953601837158,4
66,Training,1143.32,2.32,1455.0,83.65,94.97,4786.74,14.32,4,0,0,0.35480237007141113,4
67,Training,1110.25,2.24,1426.58,85.53,96.86,4746.23,1.3,4,0,0,0.3280675411224365,4
68,Training,1168.46,2.37,1492.9,84.28,94.97,4676.12,57.72,4,0,0,0.4648444652557373,4
69,Training,1209.63,2.47,1564.16,82.39,95.6,6391.51,19.43,4,0,0,0.6737034320831299,4
70,Training,1230.44,2.55,1619.64,81.13,94.97,6381.05,7.81,4,0,0,0.7843778133392334,4
71,Training,1183.59,2.45,1581.43,81.76,94.97,6233.82,9.15,4,0,0,0.5699114799499512,4
72,Training,1131.79,2.34,1537.25,84.91,94.97,6243.98,15.35,4,0,0,0.4813699722290039,4
73,Training,1148.43,2.38,1535.2,85.53,96.23,6245.6,2.58,4,0,0,0.5350549221038818,4
74,Training,1165.19,2.40,1525.53,85.53,96.23,6165.41,10.35,4,0,0,0.5490179061889648,4
75,Training,1163.84,2.40,1514.17,85.53,96.23,6084.38,14.25,4,0,0,0.36013102531433105,4
76,Training,1144.29,2.36,1494.91,85.53,96.23,5951.15,0.91,4,0,0,0.3822751045227051,4
77,Training,1116.37,2.30,1464.41,84.28,94.97,5784.41,12.47,4,0,0,0.37691521644592285,4
78,Training,1057.18,2.19,1389.83,88.68,98.11,5909.87,21.68,4,0,0,0.34981560707092285,4
79,Training,1126.72,2.31,1458.68,85.53,95.6,5619.97,0.78,4,0,0,0.5430538654327393,4
