Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Maximum error,Minimum error,Step4,Step6.1,Step6.2,Time,Adopted_hidden_node,nb_node_pruned
1,Training,824.82,1.54,1140.0,89.31,97.48,3060.79,0.01,128,13,18,828.7442865371704,55,0
2,Training,797.79,1.50,1122.19,89.94,97.48,3061.16,0.01,156,0,3,273.87402081489563,64,0
3,Training,751.83,1.42,1078.19,90.57,98.11,3061.16,0.0,155,0,4,319.51897859573364,76,0
4,Training,751.14,1.43,1089.2,89.94,98.11,3062.01,0.01,156,0,3,360.50723481178284,85,0
